date, pm25, pm10, o3, no2, so2, co
2018/10/25, 87, , 25, , 24, 6
2018/10/26, 110, , 25, , 14, 6
2018/10/27, 96, , 24, , 8, 8
2018/10/28, 79, , 31, , 6, 6
2018/10/29, 75, , 29, , 7, 7
2018/10/30, 73, , 32, , 6, 7
2018/10/31, 76, , 24, , 10, 11
2018/11/1, 90, , 28, , 8, 9
2018/11/2, 62, , 34, , 8, 9
2018/11/3, 63, , 27, , 5, 8
2018/11/4, 59, , 26, , 4, 8
2018/11/5, 50, , 20, , 11, 7
2018/11/6, 60, , 26, , 17, 5
2018/11/7, 71, , 29, , 9, 8
2018/11/8, 74, , 23, , 10, 6
2018/11/9, 65, , 20, , 8, 8
2018/11/10, 67, , 21, , 5, 6
2018/11/11, 60, , , , , 
2018/11/13, 70, , 22, , 6, 6
2018/11/14, 64, , 21, , 2, 6
2018/11/15, 69, , 22, , 8, 8
2018/11/16, 65, , 20, , 7, 11
2018/11/17, 69, , 24, , 13, 10
2018/11/18, 85, , , , , 
2018/11/20, 64, , 25, , 9, 9
2018/11/21, 76, , 23, , 7, 9
2018/11/22, 77, , 24, , 5, 11
2018/11/23, 78, , 27, , 5, 10
2018/11/24, 63, , 28, , 5, 11
2018/11/25, 73, , 22, , 3, 8
2018/11/26, 60, , 13, , 5, 11
2018/11/27, 59, , 10, , 4, 11
2018/11/28, 63, , 27, , 6, 12
2018/11/29, 70, , 13, , 8, 14
2018/11/30, 80, , 13, , 5, 13
2018/12/1, 65, , 18, , 5, 13
2018/12/2, 63, , 29, , 4, 11
2018/12/3, 55, , 17, , 5, 11
2018/12/4, 69, , 22, , 5, 9
2018/12/5, 80, , 22, , 6, 9
2018/12/6, 82, , 29, , 5, 11
2018/12/7, 77, , 28, , 5, 11
2018/12/8, 69, , 24, , 4, 10
2018/12/9, 66, , 23, , 4, 9
2018/12/10, 48, , 17, , 6, 10
2018/12/11, 60, , 16, , 6, 6
2018/12/12, 71, , 16, , 5, 3
2018/12/13, 56, , 19, , 6, 8
2018/12/14, 60, , , , 5, 9
2018/12/15, 69, , 21, , 8, 5
2018/12/16, 60, , 29, , 6, 1
2018/12/17, 50, , 17, , 6, 5
2018/12/18, 64, , 22, , 7, 6
2018/12/19, 69, , 18, , 6, 8
2018/12/20, 73, , 17, , 8, 7
2018/12/21, 65, , 20, , 6, 9
2018/12/22, 73, , , , , 
